name,address,Is Early Voting,Precincts (Or Locality-wide),Is Drop Off,lon,lat,V11
APPALACHIA HIGH SCHOOL,"205 LEE ST APPALACHIA, VA 24216-1513",False,"101 - APPALACHIA - 0000, 101 - APPALACHIA - 0080",False,-82.77087,36.9088,
Big Stone Gap Town Hall,505 E. 5TH STREET BIG STONE GAP VA 24219,True,Locality wide location,False,-82.77133,36.86264,
COEBURN PRIMARY SCHOOL,"332 SCHOOLHOUSE HILL DR NE COEBURN, VA 24230-4013",False,"201 - NORTH COEBURN - 0000, 201 - NORTH COEBURN - 0600",False,-82.46842,36.94813,
COEBURN PRIMARY SCHOOL,"332 SCHOOLHOUSE HILL DR NE COEBURN, VA 24230-4013",False,"402 - SOUTH COEBURN - 0000, 402 - SOUTH COEBURN - 0600",False,-82.46842,36.94813,
DORCHESTER COMMUNITY CENTER,"4543 DORCHESTER RD NORTON, VA 24273-4227",False,102 - DORCHESTER - 0000,False,-82.64929,36.93277,
J W ADAMS ELEMENTARY SCHOOL,"10824 ORBY CANTRELL HWY POUND, VA 24279-4906",False,"104 - WEST POUND - 0000, 104 - WEST POUND - 1980",False,-82.59887,37.11091,
J W ADAMS ELEMENTARY SCHOOL,"10824 ORBY CANTRELL HWY POUND, VA 24279-4906",False,203 - EAST POUND - 0000,False,-82.59887,37.11091,
POWELL VALLEY PRIMARY SCHOOL,"2945 2ND AVE E BIG STONE GAP, VA 24219-3801",False,302 - EAST STONE GAP - 0000,False,-82.73825,36.88416,
ST PAUL ELEMENTARY SCHOOL,"3200 DEACON DR SAINT PAUL, VA 24283-3608",False,"403 - ST PAUL - 0000, 403 - ST PAUL - 2160",False,-82.3098,36.90845,
STEPHENS COMMUNITY CENTER,"6600 KEMPER ROAD WISE, VA 24293",False,103 - GUEST RIVER VOTING PLACE - 0000,False,-82.60181,36.99314,
TOWN HALL,"505 E 5TH STREET SOUTH BIG STONE GAP, VA 24219",False,"301 - BIG STONE GAP - 0170, 301 - BIG STONE GAP - 0000",False,-82.77133,36.86264,
WISE COUNTY JUSTICE CENTER,"5607 PATRIOT DR WISE, VA 24293",False,401 - CLINCH VALLEY - 0000,False,-82.55024,36.96753,
WISE MIDDLE SCHOOL,"324 MODOC AVENUE WISE, VA 24293",False,"202 - WISE - 0000, 202 - WISE - 2600",False,-82.57593,36.97452,
Big Stone Gap Town Hall,505 E 5TH ST BIG STONE GAP VA 24219,True,Locality wide location,False,-82.78601,36.86247,
