osm_id,code,fclass,name,lon,lat
356561575,2082,school,Father Judge Mission Seminary,-79.13892,37.55347
356563086,2082,school,Lovingston School,-79.14641,37.44236
356563471,2082,school,Mount Airy School,-79.08891,37.53375
356567210,2082,school,Watts School,-79.14447,37.50875
356573386,2082,school,Moss Rock School,-79.23198,37.68653
356573687,2082,school,Myers School,-79.22781,37.79458
356575160,2082,school,Temperance Elementary School,-79.08169,37.69264
356593761,2082,school,Elon Elementary School,-79.19531,37.51431
356593774,2082,school,James River Elementary School,-79.12169,37.42014
356605299,2082,school,Lyn Dan Heights Volunteer Fire Department,-79.33139,37.52417
356605310,2082,school,Campbell County Sheriffs Office,-79.17444,37.47056
1686133283,2303,cafe,Toy Town Soul Food,-79.01721,37.61258
2393280709,2501,supermarket,Food Lion,-79.04828,37.58403
4777873064,2082,school,Amherst Elementary School,-79.04557,37.588
5332811649,2402,motel,,-79.11991,37.48257
5334386542,2303,cafe,Daisy’s Café,-79.08059,37.55468
8993755342,2402,motel,Executive Inn,-79.11948,37.44607
