geoid,countyfp,prc_nonengprof_final,prc_nonengprof_final_unreliable_flag,prc_caraccess_final,prc_caraccess_final_unreliable_flag,prcdisabled_final,prcdisabled_final_unreliable_flag,prc_pov_final,prc_pov_final_unreliable_flag,prc_youth_final,prc_youth_final_unreliable_flag,prc_asian,prc_asian_unreliable_flag,prc_black,prc_black_unreliable_flag,prc_latino,prc_latino_unreliable_flag,prc_native,prc_native_unreliable_flag,prc_white,prc_white_unreliable_flag,prc_centralamerican,prc_centralamerican_unreliable_flag,prc_cuban,prc_cuban_unreliable_flag,prc_dominican,prc_dominican_unreliable_flag,prc_mexican,prc_mexican_unreliable_flag,prc_puertorican,prc_puertorican_unreliable_flag,prc_southam,prc_southam_unreliable_flag,prc_asianindian,prc_asianindian_unreliable_flag,prc_chinese,prc_chinese_unreliable_flag,prc_filipino,prc_filipino_unreliable_flag,prc_japanese,prc_japanese_unreliable_flag,prc_korean,prc_korean_unreliable_flag,prc_vietnamese,prc_vietnamese_unreliable_flag,cvapdens,cvapdens_unreliable_flag,tot_elignonreg_prc_final,tot_elignonreg_prc_final_unreliable_flag,job_dens,pollvoter_dens,pop20,areakm,popdens,vbm_tot_2016,vbm_lat_2016,vbm_asn_2016,vbm_youth_2016,vbm_blk_2016,turnout_tot_2016,turnout_lat_2016,turnout_asn_2016,turnout_youth_2016,turnout_blk_2016,tot_elignonreg_prc_final_dup_flag_x,vbm_tot_2020,vbm_lat_2020,vbm_asn_2020,vbm_youth_2020,vbm_blk_2020,turnout_tot_2020,turnout_lat_2020,turnout_asn_2020,turnout_youth_2020,turnout_blk_2020,tot_elignonreg_prc_final_dup_flag_y
51510200102,510.0,0.1957,0.0,0.91034,0.0,0.06149,1.0,0.1209,0.0,0.06076,1.0,0.08586,1.0,0.20303,0.0,0.3426,0.0,0.0,1.0,0.32476,0.0,0.18623,0.0,0.00726,1.0,0.0,1.0,0.03194,1.0,0.02178,1.0,0.06989,0.0,0.00166,1.0,0.0,1.0,0.00975,1.0,0.00145,1.0,0.00166,1.0,0.0,1.0,0.01937,0.0,0.0,1.0,0.10987,0.01869,5057.0,1.12398,4499.20564,0.21556,0.12289,0.21677,0.14648,0.17333,0.58993,0.62791,0.55572,0.66335,0.56554,0.0,0.35926,0.2524,0.3299,0.26789,0.27863,0.61663,0.54609,0.59146,0.54963,0.59313,0.0
51510200104,510.0,0.37349,0.0,0.88668,0.0,0.04629,1.0,0.27302,0.0,0.0537,1.0,0.02158,1.0,0.20928,0.0,0.39046,0.0,0.0,1.0,0.2926,0.0,0.333,0.0,0.0,1.0,0.0,1.0,0.01154,1.0,0.01154,1.0,0.03137,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.01882,1.0,0.0,1.0,0.01435,0.0,0.0,1.0,0.02408,0.01568,4107.0,0.9032,4547.18778,0.19402,0.10804,0.18496,0.20676,0.18329,0.59562,0.65706,0.62967,0.62342,0.57595,0.0,0.33373,0.24987,0.40023,0.31945,0.28273,0.62553,0.59,0.6452,0.5533,0.61059,0.0
51510200105,510.0,0.23411,0.0,0.88137,0.0,0.09401,1.0,0.08078,0.0,0.02945,1.0,0.02209,1.0,0.66131,0.0,0.05042,1.0,0.0,1.0,0.20482,0.0,0.0261,1.0,0.0,1.0,0.00335,1.0,0.0058,1.0,0.00491,1.0,0.01026,1.0,0.00223,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.00223,1.0,0.0058,1.0,0.02205,0.0,0.19517,0.0,0.00181,0.01426,4068.0,0.18684,21772.22197,0.19358,0.10457,0.21974,0.14331,0.16613,0.5682,0.61691,0.52797,0.65712,0.56157,0.0,0.31795,0.23198,0.29349,0.27084,0.27844,0.58702,0.52296,0.56791,0.53933,0.58734,0.0
51510200106,510.0,0.25355,0.0,0.7269,0.0,0.03232,1.0,0.1544,0.0,0.06706,1.0,0.13044,1.0,0.21796,0.0,0.30418,0.0,0.0,1.0,0.3368,0.0,0.19661,0.0,0.0,1.0,1e-05,1.0,0.05708,1.0,0.00773,1.0,0.04275,0.0,0.01379,1.0,0.00551,1.0,0.00744,1.0,0.0,1.0,0.00166,1.0,0.00387,1.0,0.01861,0.0,0.0,1.0,0.0212,0.01668,3395.0,0.82761,4102.15315,0.29112,0.2132,0.19292,0.16044,0.2485,0.68059,0.69563,0.70167,0.6939,0.61112,0.0,0.47906,0.34255,0.43753,0.27231,0.28162,0.72415,0.68119,0.66819,0.60859,0.64166,0.0
51510200108,510.0,0.18013,0.0,0.86296,0.0,0.03214,1.0,0.12527,0.0,0.09079,1.0,0.06897,0.0,0.46494,0.0,0.20677,0.0,0.0,1.0,0.22872,0.0,0.1161,0.0,0.00375,1.0,0.0022,1.0,0.03513,1.0,0.00581,1.0,0.02958,1.0,0.01808,1.0,0.0195,1.0,0.01563,1.0,0.0,1.0,0.0,1.0,0.0022,1.0,0.00905,0.0,0.14396,0.0,0.00592,0.00692,1672.0,0.24725,6762.25756,,,,,,,,,,,,0.34689,0.25974,0.44144,0.35537,0.28636,0.66172,0.63486,0.68098,0.5641,0.63182,0.0
51510200109,510.0,0.18013,0.0,0.86296,0.0,0.03214,1.0,0.12527,0.0,0.09079,1.0,0.06897,0.0,0.46494,0.0,0.20677,0.0,0.0,1.0,0.22872,0.0,0.1161,0.0,0.00375,1.0,0.0022,1.0,0.03513,1.0,0.00581,1.0,0.02958,1.0,0.01808,1.0,0.0195,1.0,0.01563,1.0,0.0,1.0,0.0,1.0,0.0022,1.0,0.0283,0.0,0.05003,0.0,0.00058,0.02402,5805.0,0.88452,6562.86351,,,,,,,,,,,,0.34688,0.25973,0.44142,0.35535,0.28636,0.66169,0.63483,0.68096,0.56409,0.6318,0.0
51510200110,510.0,0.09422,0.0,0.96156,0.0,0.0562,0.0,0.0718,0.0,0.07409,1.0,0.10558,0.0,0.25033,0.0,0.14442,0.0,0.0,1.0,0.45366,0.0,0.02448,1.0,0.00898,1.0,0.0,1.0,0.02089,1.0,0.01436,1.0,0.06038,1.0,0.00653,1.0,0.02023,1.0,0.0155,1.0,0.0031,1.0,0.01877,1.0,0.00522,1.0,0.01806,0.0,0.02195,0.0,0.01224,0.01434,2615.0,0.26754,9774.33138,,,,,,,,,,,,0.3994,0.31273,0.45641,0.38365,0.28868,0.65944,0.64403,0.66102,0.6139,0.63015,0.0
51510200111,510.0,0.09422,0.0,0.96156,0.0,0.0562,0.0,0.0718,0.0,0.07409,1.0,0.10558,0.0,0.25033,0.0,0.14442,0.0,0.0,1.0,0.45366,0.0,0.02448,1.0,0.00898,1.0,0.0,1.0,0.02089,1.0,0.01436,1.0,0.06038,1.0,0.00653,1.0,0.02023,1.0,0.0155,1.0,0.0031,1.0,0.01877,1.0,0.00522,1.0,0.0247,0.0,0.0,1.0,0.00099,0.02143,3909.0,0.37314,10476.02569,,,,,,,,,,,,0.3994,0.31273,0.45641,0.38365,0.28868,0.65944,0.64403,0.66102,0.6139,0.63015,0.0
51510200201,510.0,0.05337,1.0,0.87907,0.0,0.07357,1.0,0.04939,0.0,0.08703,1.0,0.06259,0.0,0.1696,0.0,0.15201,0.0,0.0,1.0,0.59523,0.0,0.01818,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.031,1.0,0.09657,1.0,0.01788,1.0,0.02325,1.0,0.00894,1.0,0.00507,1.0,0.00358,1.0,0.00477,1.0,0.02544,0.0,0.06461,0.0,0.02547,0.02238,3509.0,2.17844,1610.78345,0.26955,0.20301,0.32653,0.46512,0.2008,0.70345,0.58079,0.66216,0.70492,0.59427,0.0,0.37924,0.36708,0.39669,0.41942,0.29826,0.72696,0.66287,0.61761,0.6493,0.60464,0.0
51510200202,510.0,0.02046,1.0,1.0,0.0,0.03133,1.0,0.0242,1.0,0.01465,1.0,0.10127,1.0,0.03248,1.0,0.05924,0.0,0.0,1.0,0.74841,0.0,0.00446,1.0,0.0,1.0,0.0,1.0,0.01401,1.0,0.02866,1.0,0.0121,1.0,0.0121,1.0,0.0,1.0,0.0,1.0,0.00701,1.0,0.0121,1.0,0.06688,1.0,0.01144,0.0,0.0,1.0,0.00888,0.01244,1698.0,1.42467,1191.8585,0.26607,0.19048,0.25,0.49351,0.24941,0.74442,0.76166,0.67857,0.66379,0.68123,0.0,0.35408,0.25455,0.44324,0.46364,0.27332,0.78922,0.71429,0.74,0.71661,0.71252,0.0
