name,address,Is Early Voting,Precincts (Or Locality-wide),Is Drop Off,lon,lat,V11
AGNOR-HURT ELEMENTARY SCHOOL,"3201 BERKMAR DR CHARLOTTESVILLE, VA 22901-1475",False,104 - AGNOR-HURT - 0000,False,-78.47701,38.08957,
ALBEMARLE HIGH SCHOOL,"2775 HYDRAULIC RD CHARLOTTESVILLE, VA 22901-8917",False,203 - GEORGETOWN - 0000,False,-78.50149,38.07546,
BAKER-BUTLER ELEMENTARY SCHOOL,"2740 PROFFIT RD CHARLOTTESVILLE, VA 22911",False,506 - BAKER-BUTLER - 0000,False,-78.42057,38.12325,
BROADUS MEMORIAL BAPTIST CHURCH,"1525 STONY POINT RD CHARLOTTESVILLE, VA 22911",False,"507 - PANTOPS - 0001, 507 - PANTOPS - 0000",False,-78.44353,38.0429,
BROADUS WOOD ELEM SCHOOL,"185 BUCK MOUNTAIN RD EARLYSVILLE, VA 22936-2009",False,603 - EARLYSVILLE - 0000,False,-78.48993,38.16231,
BROWNSVILLE ELEMENTARY SCHOOL,"5870 ROCKFISH GAP TPKE CROZET, VA 22932",False,604 - BROWNSVILLE - 0000,False,-78.70271,38.05212,
CATEC,"1000 RIO RD E CHARLOTTESVILLE, VA 22901-1803",False,105 - DUNLORA - 0000,False,-78.46392,38.06266,
CROZET ELEMENTARY SCHOOL,"1407 CROZET AVE CROZET, VA 22932-2722",False,601 - CROZET - 0000,False,-78.69726,38.07465,
Calvary Chapel,"1284 SUNSET AVENUE EXT CHARLOTTESVILLE, VA 22903",False,305 - COUNTRY GREEN - 0000,False,-78.52691,38.00274,
ELKS LODGE HALL,"389 ELK DR CHARLOTTESVILLE, VA 22911-8434",False,504 - FREE BRIDGE - 0000,False,-78.4509,38.03906,
FREE UNION COUNTRY SCHOOL,"4220 FREE UNION RD FREE UNION, VA 22940",False,602 - FREE UNION - 0000,False,-78.56296,38.15332,
HOLLYMEAD ELEMENTARY SCHOOL,"2775 POWELL CREEK DR CHARLOTTESVILLE, VA 22911-7539",False,503 - HOLLYMEAD - 0000,False,-78.43914,38.11263,
Hillsdale Conference Center,"550 HILLSDALE DRIVE CHARLOTTESVILLE, VA 22901",False,103 - BRANCHLANDS - 0000,False,-78.48032,38.07067,
JACK JOUETT MIDDLE SCHOOL,"210 LAMBS LN CHARLOTTESVILLE, VA 22901-8951",False,"201 - JACK JOUETT - 0000, 201 - JACK JOUETT - 0001",False,-78.50662,38.07692,
Laurel Hill Baptist Church,"3595 GRAND FORKS BLVD. CHARLOTTESVILLE, VA 22936-2410",False,106 - NORTHSIDE - 0000,False,-78.44193,38.13503,
MERIWETHER LEWIS ELEM SCHOOL,"1610 OWENSVILLE RD CHARLOTTESVILLE, VA 22901-9407",False,301 - IVY - 0000,False,-78.59811,38.08126,
MILLER CENTER,"2201 OLD IVY RD CHARLOTTESVILLE, VA 22903-4822",False,304 - EAST IVY - 0000,False,-78.51366,38.04764,
MONTICELLO HIGH SCHOOL,"1400 INDEPENDENCE WAY CHARLOTTESVILLE, VA 22902",False,407 - BISCUIT RUN - 0000,False,-78.49163,38.00015,
MONTICELLO HIGH SCHOOL AUDITORIUM,"1400 INDEPENDENCE WAY CHARLOTTESVILLE, VA 22902-8745",False,402 - MONTICELLO - 0000,False,-78.49163,38.00015,
MOUNT ED BAPTIST CHURCH,"1606 CRAIGS STORE RD AFTON, VA 22920-2047",False,307 - YELLOW MOUNTAIN - 0000,False,-78.72789,37.99166,
MOUNTAIN VIEW ELEMENTARY SCHOOL,"1757 AVON STREET EXT CHARLOTTESVILLE, VA 22902-8708",False,405 - CALE - 0000,False,-78.49926,37.9963,
RED HILL ELEMENTARY SCHOOL,"3901 RED HILL SCHOOL RD NORTH GARDEN, VA 22959-1704",False,302 - RED HILL - 0000,False,-78.63512,37.96448,
SCOTTSVILLE ELEMENTARY SCHOOL,"7868 SCOTTSVILLE RD SCOTTSVILLE, VA 24590-3963",False,"401 - SCOTTSVILLE - 0000, 401 - SCOTTSVILLE - 0001",False,-78.50972,37.81905,
SLAUGHTER RECREATIONAL CENTER,"505 EDGEMONT RD CHARLOTTESVILLE, VA 22904",False,202 - UNIVERSITY - 0000,False,-78.51788,38.03487,
STONE-ROBINSON ELEM SCHOOL,"958 N MILTON RD CHARLOTTESVILLE, VA 22911-3612",False,406 - STONE ROBINSON - 0000,False,-78.39693,38.01097,
STONY POINT ELEM SCHOOL,"3893 STONY POINT RD KESWICK, VA 22947-1503",False,"502 - STONY POINT - 0001, 502 - STONY POINT - 0000",False,-78.36956,38.11181,
WESTERN ALBEMARLE HIGH SCHOOL,"5941 ROCKFISH GAP TPKE CROZET, VA 22932",False,606 - MECHUMS RIVER - 0000,False,-78.70661,38.04695,
WOODBROOK ELEMENTARY SCHOOL,"100 WOODBROOK DR CHARLOTTESVILLE, VA 22901-1133",False,"101 - WOODBROOK - 0000, 101 - WOODBROOK - 0001",False,-78.46545,38.08754,
Yancey School Community Center,"7625 PORTERS RD ESMONT, VA 22937-2112",False,306 - PORTERS - 0000,False,-78.59598,37.82137,
ZION HILL BAPTIST CHURCH,"802 ZION HILL RD KESWICK, VA 22947-2409",False,501 - KESWICK - 0000,False,-78.29613,38.0578,
