geoid,countyfp,prc_nonengprof_final,prc_nonengprof_final_unreliable_flag,prc_caraccess_final,prc_caraccess_final_unreliable_flag,prcdisabled_final,prcdisabled_final_unreliable_flag,prc_pov_final,prc_pov_final_unreliable_flag,prc_youth_final,prc_youth_final_unreliable_flag,prc_asian,prc_asian_unreliable_flag,prc_black,prc_black_unreliable_flag,prc_latino,prc_latino_unreliable_flag,prc_native,prc_native_unreliable_flag,prc_white,prc_white_unreliable_flag,prc_centralamerican,prc_centralamerican_unreliable_flag,prc_cuban,prc_cuban_unreliable_flag,prc_dominican,prc_dominican_unreliable_flag,prc_mexican,prc_mexican_unreliable_flag,prc_puertorican,prc_puertorican_unreliable_flag,prc_southam,prc_southam_unreliable_flag,prc_asianindian,prc_asianindian_unreliable_flag,prc_chinese,prc_chinese_unreliable_flag,prc_filipino,prc_filipino_unreliable_flag,prc_japanese,prc_japanese_unreliable_flag,prc_korean,prc_korean_unreliable_flag,prc_vietnamese,prc_vietnamese_unreliable_flag,cvapdens,cvapdens_unreliable_flag,tot_elignonreg_prc_final,tot_elignonreg_prc_final_unreliable_flag,job_dens,pollvoter_dens,pop20,areakm,popdens,vbm_tot_2016,vbm_lat_2016,vbm_asn_2016,vbm_youth_2016,vbm_blk_2016,turnout_tot_2016,turnout_lat_2016,turnout_asn_2016,turnout_youth_2016,turnout_blk_2016,tot_elignonreg_prc_final_dup_flag_x,vbm_tot_2020,vbm_lat_2020,vbm_asn_2020,vbm_youth_2020,vbm_blk_2020,turnout_tot_2020,turnout_lat_2020,turnout_asn_2020,turnout_youth_2020,turnout_blk_2020,tot_elignonreg_prc_final_dup_flag_y
51145500101,145.0,0.00188,1.0,0.99806,0.0,0.06306,1.0,0.06157,0.0,0.08058,1.0,0.00075,1.0,0.03305,1.0,0.01705,1.0,0.0,1.0,0.93542,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.01705,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.23139,0.0,0.0,1.0,0.20673,0.24676,6793.0,129.09136,52.62165,0.08981,0.07378,0.0,0.29156,0.05404,0.82678,0.72991,0.66667,0.68076,0.68546,0.0,0.1336,0.09518,0.0,0.22355,0.07324,0.87318,0.7816,0.875,0.75792,0.73904,0.0
51145500102,145.0,0.00791,1.0,1.0,0.0,0.06794,1.0,0.03523,1.0,0.07382,1.0,0.0,1.0,0.0353,0.0,0.01095,1.0,0.00264,1.0,0.92298,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.00755,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.18139,0.0,0.0,1.0,0.19776,0.19739,5865.0,88.46997,66.29368,0.07381,0.00562,0.25,0.17982,0.08219,0.8102,0.57,0.03881,0.77936,0.70041,0.0,0.10527,0.19838,0.5,0.16549,0.19357,0.85173,0.48934,1.0,0.73946,0.75256,0.0
51145500201,145.0,0.0041,1.0,0.97738,0.0,0.09005,0.0,0.05586,0.0,0.075,1.0,0.00325,1.0,0.03549,0.0,0.01276,1.0,0.00134,1.0,0.9278,0.0,0.0,1.0,0.0019,1.0,0.0,1.0,0.00269,1.0,0.0,1.0,0.00571,1.0,0.0,1.0,0.0,1.0,0.00325,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.18218,0.0,0.0,1.0,0.14843,0.19746,6137.0,107.55905,57.05703,,,,,,,,,,,,0.12118,0.35247,0.0,0.18249,0.14543,0.84153,0.79693,0.0,0.73581,0.80896,0.0
51145500202,145.0,0.0041,1.0,0.97738,0.0,0.09005,0.0,0.05586,0.0,0.075,1.0,0.00325,1.0,0.03549,0.0,0.01276,1.0,0.00134,1.0,0.9278,0.0,0.0,1.0,0.0019,1.0,0.0,1.0,0.00269,1.0,0.0,1.0,0.00571,1.0,0.0,1.0,0.0,1.0,0.00325,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.12533,0.0,0.0,1.0,0.17534,0.14316,4248.0,62.81694,67.62507,,,,,,,,,,,,0.12963,0.34606,0.5,0.25317,0.26832,0.85294,0.77907,1.0,0.73747,0.68506,0.0
51145500300,145.0,0.02278,1.0,1.0,1.0,0.0,1.0,0.05348,0.0,0.11558,1.0,0.0133,1.0,0.53017,0.0,0.05319,0.0,0.00546,1.0,0.38493,0.0,0.02318,0.0,0.0,1.0,0.0,1.0,0.01023,1.0,0.01023,1.0,0.0,1.0,0.00239,1.0,0.00068,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.00341,1.0,0.11009,0.0,0.0,2.0,0.02287,0.0268,898.0,33.68232,26.66087,0.09014,0.0,0.0,0.21771,0.10992,0.81137,0.53676,0.0,0.68126,0.7681,0.0,0.11543,0.10201,0.0,0.19883,0.11161,0.86359,0.86776,0.0,0.7765,0.84199,0.0
51145500400,145.0,0.0,1.0,0.97806,0.0,0.0829,0.0,0.05831,0.0,0.0607,1.0,0.0,1.0,0.12279,0.0,0.03781,1.0,0.0,1.0,0.83562,0.0,0.0,1.0,0.0,1.0,0.00318,1.0,0.00259,1.0,0.01692,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.16962,0.0,0.0,1.0,0.24888,0.18843,5887.0,257.74583,22.84033,0.08796,0.28571,0.0,0.12903,0.08155,0.79452,0.77778,0.66667,0.69925,0.75896,0.0,0.10104,0.15385,0.5,0.11111,0.1102,0.82961,0.61905,0.47203,0.69734,0.78275,0.0
51145500200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.10226,0.18611,0.16498,0.19807,0.09759,0.79752,0.75469,0.8489,0.68317,0.68748,0.0,,,,,,,,,,,
