name,address,Is Early Voting,Precincts (Or Locality-wide),Is Drop Off,lon,lat,V11
BURROWSVILLE COMMUNITY CENTER,"18701 JAMES RIVER DR DISPUTANTA, VA 23842-9046",False,203 - BRANDON - 0000,False,-77.07601,37.21398,
COURTS BUILDING,"6601 COURTS DR PRINCE GEORGE, VA 23875-2503",False,204 - COURTS BLDG - 0001,False,-77.28606,37.22352,
Faith Baptist Church,"5501 MIDDLE RD PRINCE GEORGE, VA 23875",False,"205 - JEFFERSON PARK - 0001, 205 - JEFFERSON PARK - 205-1",False,-77.30507,37.24792,
HARRISON ELEM SCHOOL,"12900 E QUAKER RD DISPUTANTA, VA 23842-6225",False,105 - HARRISON - 0000,False,-77.22785,37.13444,
N B CLEMENTS JR HIGH SCHOOL,"7800 LAUREL SPRING RD PRINCE GEORGE, VA 23875-3327",False,201 - BLAND - 0000,False,-77.26135,37.20703,
PRINCE GEORGE PARK AND RECREATION COMMUNITY CENTER,"11100 OLD STAGE RD PRINCE GEORGE, VA 23875-2211",False,202 - BLACK WATER - 0000,False,-77.20771,37.23015,
Prince George County Registrar Office,6602 COURTS DR STE 243 PRINCE GEORGE VA 23875,True,Locality wide location,False,-77.28765,37.22315,
RICHARD BLAND BARN THEATER,"11301 JOHNSON RD PETERSBURG, VA 23805-7100",False,"101 - RICHARD BLAND - 0000, 101 - RICHARD BLAND - 0001",False,-77.39643,37.15667,
SOUTH ELEMENTARY SCHOOL,"13400 PRINCE GEORGE DR DISPUTANTA, VA 23842-4437",False,102 - TEMPLETON - 0000,False,-77.31289,37.12905,
UNION BRANCH BAPTIST CHURCH,"3356 UNION BRANCH RD PETERSBURG, VA 23805-7621",False,103 - UNION BRANCH - 0000,False,-77.34209,37.15472,
WALTON ELEMENTARY SCHOOL,"4101 COURTHOUSE RD PRINCE GEORGE, VA 23875-2945",False,104 - RIVES - 0000,False,-77.32997,37.2016,
