name,address,Is Early Voting,Precincts (Or Locality-wide),Is Drop Off,lon,lat,V11
BUCHANAN ELEMENTARY SCHOOL,"255 SCHOOLHOUSE RD BUCHANAN, VA 24066",False,"301 - BUCHANAN - 0000, 301 - BUCHANAN - 0001",False,-79.70405,37.51222,
COLONIAL ELEMENTARY SCHOOL,"2941 WEBSTER RD BLUE RIDGE, VA 24064-1928",False,201 - BLUE RIDGE - 0000,False,-79.81663,37.35771,
EAGLE ROCK ELEMENTARY SCHOOL,"145 EAGLES NEST DR EAGLE ROCK, VA 24085-3403",False,403 - EAGLE ROCK - 0000,False,-79.81138,37.65642,
FINCASTLE BAPTIST CHURCH,"7330 ROANOKE RD FINCASTLE, VA 24090-3462",False,"406 - FINCASTLE - 0000, 406 - FINCASTLE - 0001",False,-79.8772,37.48019,
GREENFIELD ELEMENTARY SCHOOL,"288 ETZLER RD TROUTVILLE, VA 24175-6393",False,102 - GREENFIELD - 0000,False,-79.92843,37.42869,
LORD BOTETOURT HIGH SCHOOL,"1435 ROANOKE RD DALEVILLE, VA 24083-2913",False,101 - DALEVILLE - 0001,False,-79.9149,37.40542,
MILL CREEK BAPTIST CHURCH,"11475 LEE HWY FINCASTLE, VA 24090",False,302 - MILL CREEK - 0000,False,-79.79675,37.47198,
RAINBOW FOREST BAPTIST CHURCH,"1338 RAINBOW FOREST DRIVE TROUTVILLE, VA 24175",False,202 - RAINBOW FOREST - 0001,False,-79.84792,37.36203,
READ MOUNTAIN MIDDLE SCHOOL,"182 ORCHARD HILL DR CLOVERDALE, VA 24077-3034",False,"502 - CLOVERDALE - 0001, 502 - CLOVERDALE - 0000",False,-79.9029,37.35788,
TROUTVILLE ELEMENTARY SCHOOL,"12 BARRON DR TROUTVILLE, VA 24175-5914",False,"501 - TROUTVILLE - 0001, 501 - TROUTVILLE - 0002, 501 - TROUTVILLE - 0000",False,-79.8473,37.4404,
