name,address,Is Early Voting,Precincts (Or Locality-wide),Is Drop Off,lon,lat,V11
Appalachian College of Pharmacy,"1060 DRAGON RD OAKWOOD, VA 24631",False,404 - OAKWOOD - 0000,False,-81.97946,37.22531,
BIG ROCK COMMUNITY CENTER,"1054 SCHOOL HOUSE RD BIG ROCK, VA 24603",False,203 - ROCKLICK - 0000,False,-82.19149,37.3546,
BREAKS COMMUNTIY CENTER,"1028 CROW PASS RD BREAKS, VA 24607",False,201 - GRASSY - 0000,False,-82.28069,37.29748,
CHILDS-GENTRY POST - VFW,"2559 LOVERS GAP RD VANSANT, VA 24656",False,503 - VANSANT - 0000,False,-82.11066,37.21686,
COUNCIL COMMUNITY CENTER,"1125 QUINN BRANCH RD HONAKER, VA 24260",False,601 - COUNCIL - 0000,False,-82.06908,37.07646,
DAVENPORT RESCUE SQUAD BLDG,"4014 HELEN HENDERSON HWY DAVENPORT, VA 24239",False,603 - HURRICANE - 0000,False,-82.13675,37.0998,
GRUNDY HIGH SCHOOL,"1300 GOLDEN WAVE DR GRUNDY, VA 24614",False,"302 - NORTH GRUNDY - 0000, 302 - NORTH GRUNDY - 1150",False,-82.06287,37.28353,
GRUNDY PLAZA,"1103 PLAZA DR GRUNDY, VA 24614-9434",False,"403 - SOUTH GRUNDY - 0000, 403 - SOUTH GRUNDY - 1150",False,-82.10748,37.25565,
HARMAN ELEM GYM,"2323 BULL CREEK RD GRUNDY, VA 24614",False,202 - BULL - 0000,False,-82.18244,37.30288,
HURLEY HIGH SCHOOL,"6339 HURLEY RD HURLEY, VA 24620",False,102 - BLACKEY - 0000,False,-82.00058,37.37988,
J M BEVINS HEADSTART,"8666 SLATE CREEK RD GRUNDY, VA 24614",False,301 - SLATE - 0000,False,-82.06077,37.29428,
ROWE SENIOR CITIZEN BUILDING,"3756 GARDEN CREEK RD ROWE, VA 24646",False,602 - GARDEN - 0000,False,-82.03134,37.13552,
RUSSELL PRATER FIRE DEPT,"1028 KILLDEER LN GRUNDY, VA 24614",False,501 - PRATER - 0000,False,-82.16364,37.22904,
TWIN VALLEY ELEM & MIDDLE SCHOOL,"9017 RIVERSIDE DR OAKWOOD, VA 24631-9623",False,702 - CONTRARY - 0000,False,-81.97445,37.20403,
TWIN VALLEY HIGH SCHOOL,"14455 DISMAL RIVER RD PILGRIMS KNOB, VA 24638",False,701 - WHITEWOOD - 0000,False,-81.91328,37.24021,
Trey Adkins Athletic Center,"1014 D A JUSTUS RD HURLEY, VA 24620",False,103 - HURLEY - 0000,False,-82.01091,37.41337,
VOTING BUILDING,"2955 MURPHY RD VANSANT, VA 24656",False,502 - FOX - 0000,False,-82.17318,37.1281,
