osm_id,code,fclass,name,lon,lat
356567297,2082,school,West End School,-78.40222,36.95182
3201039676,2501,supermarket,Food Lion,-78.21909,36.9872
3201040019,2082,school,,-78.20704,36.98861
6629358250,2012,community_centre,Victoria-Lunenburg County Community Centre,-78.22517,36.99343
6629358254,2303,cafe,Uptown Coffee Cafe,-78.22677,36.9945
356581467,2005,post_office,Lunenburg Post Office,-78.26565,36.96115
367981038,2009,courthouse,Lunenburg County Courthouse,-78.26611,36.96154
367985316,2002,fire_station,Palmer Springs Volunteer Fire Department,-78.40972,36.93556
367985591,2002,fire_station,Meherrin Volunteer Fire / Rescue,-78.3691,37.10152
367985979,2002,fire_station,Victoria Fire Department,-78.26616,36.96183
367986050,2002,fire_station,Victoria Fire Department,-78.22445,36.9907
367987593,2001,police,Lunenburg County Sheriff's Office,-78.26571,36.96187
6629358251,2005,post_office,United States Post Office,-78.22674,36.9937
6629358259,2007,library,Victoria Public Library,-78.22606,36.99426
6629358262,2001,police,Victoria Police Municipal Building,-78.22705,36.99486
