geoid,countyfp,prc_nonengprof_final,prc_nonengprof_final_unreliable_flag,prc_caraccess_final,prc_caraccess_final_unreliable_flag,prcdisabled_final,prcdisabled_final_unreliable_flag,prc_pov_final,prc_pov_final_unreliable_flag,prc_youth_final,prc_youth_final_unreliable_flag,prc_asian,prc_asian_unreliable_flag,prc_black,prc_black_unreliable_flag,prc_latino,prc_latino_unreliable_flag,prc_native,prc_native_unreliable_flag,prc_white,prc_white_unreliable_flag,prc_centralamerican,prc_centralamerican_unreliable_flag,prc_cuban,prc_cuban_unreliable_flag,prc_dominican,prc_dominican_unreliable_flag,prc_mexican,prc_mexican_unreliable_flag,prc_puertorican,prc_puertorican_unreliable_flag,prc_southam,prc_southam_unreliable_flag,prc_asianindian,prc_asianindian_unreliable_flag,prc_chinese,prc_chinese_unreliable_flag,prc_filipino,prc_filipino_unreliable_flag,prc_japanese,prc_japanese_unreliable_flag,prc_korean,prc_korean_unreliable_flag,prc_vietnamese,prc_vietnamese_unreliable_flag,cvapdens,cvapdens_unreliable_flag,tot_elignonreg_prc_final,tot_elignonreg_prc_final_unreliable_flag,job_dens,pollvoter_dens,pop20,areakm,popdens,vbm_tot_2016,vbm_lat_2016,vbm_asn_2016,vbm_youth_2016,vbm_blk_2016,turnout_tot_2016,turnout_lat_2016,turnout_asn_2016,turnout_youth_2016,turnout_blk_2016,tot_elignonreg_prc_final_dup_flag_x,vbm_tot_2020,vbm_lat_2020,vbm_asn_2020,vbm_youth_2020,vbm_blk_2020,turnout_tot_2020,turnout_lat_2020,turnout_asn_2020,turnout_youth_2020,turnout_blk_2020,tot_elignonreg_prc_final_dup_flag_y
51059420202,59.0,0.06636,1.0,0.98397,0.0,0.02519,1.0,0.01068,1.0,0.07039,1.0,0.14515,0.0,0.25291,0.0,0.14029,0.0,0.0,1.0,0.44223,0.0,0.0432,1.0,0.00631,1.0,0.0,1.0,0.0068,1.0,0.01117,1.0,0.0665,1.0,0.0,1.0,0.01748,1.0,0.01553,1.0,0.00825,1.0,0.04029,1.0,0.01893,1.0,0.00229,0.0,0.15051,0.0,0.00027,0.00169,1943.0,0.65463,2968.10621,0.24455,0.15126,0.20792,0.31579,0.23921,0.70824,0.68786,0.70302,0.60638,0.72302,0.0,0.40524,0.32404,0.46243,0.48661,0.38162,0.74376,0.7104,0.73932,0.72258,0.72624,0.0
51059420203,59.0,0.05784,0.0,0.97407,0.0,0.03916,1.0,0.02749,0.0,0.0602,1.0,0.1263,0.0,0.14613,0.0,0.06648,0.0,0.0,1.0,0.61724,0.0,0.01846,1.0,0.00139,1.0,0.0,1.0,0.00627,1.0,0.00313,1.0,0.01427,1.0,0.02818,1.0,0.00905,1.0,0.01844,1.0,0.00487,1.0,0.00557,1.0,0.02783,1.0,0.0028,0.0,0.00561,0.0,0.00099,0.0026,2719.0,2.01079,1352.20306,0.20635,0.1,0.16045,0.32432,0.2161,0.75106,0.70922,0.71088,0.69159,0.72171,0.0,0.37658,0.27273,0.39236,0.46411,0.30315,0.78009,0.72673,0.69734,0.7037,0.71148,0.0
51059420300,59.0,0.14916,0.0,0.98114,0.0,0.0531,1.0,0.07311,1.0,0.08679,1.0,0.11092,0.0,0.12031,0.0,0.23335,0.0,0.01163,1.0,0.50455,0.0,0.13022,0.0,0.00343,1.0,5e-05,1.0,0.03617,1.0,0.02126,1.0,0.02505,1.0,0.0155,1.0,0.04966,1.0,0.00233,1.0,0.00262,1.0,0.00358,1.0,0.00582,1.0,0.00555,0.0,0.0,1.0,0.00061,0.00595,6188.0,4.60522,1343.69362,0.19232,0.09477,0.1322,0.31055,0.20858,0.76378,0.73695,0.74141,0.65834,0.75423,0.0,0.35681,0.21415,0.37364,0.41515,0.3106,0.77793,0.72485,0.70775,0.70556,0.73065,0.0
51059420400,59.0,0.08789,1.0,0.89129,0.0,0.04564,1.0,0.04541,0.0,0.06893,1.0,0.17101,0.0,0.15123,0.0,0.10368,0.0,0.0,1.0,0.53629,0.0,0.03651,1.0,0.00232,1.0,0.0,1.0,0.00322,1.0,0.04737,1.0,0.01278,1.0,0.05978,1.0,0.04461,0.0,0.02071,1.0,0.00995,1.0,0.01356,1.0,0.00025,1.0,0.0038,0.0,0.0,1.0,0.00093,0.00309,3838.0,0.95979,3998.80667,0.18917,0.14976,0.25362,0.0625,0.21942,0.62483,0.61976,0.62727,0.61538,0.66033,0.0,0.36304,0.27434,0.52143,0.26087,0.32877,0.65243,0.60916,0.6278,0.63187,0.63923,0.0
51059420501,59.0,0.08716,1.0,0.91667,0.0,0.07432,1.0,0.13773,1.0,0.08196,1.0,0.02667,1.0,0.10912,0.0,0.07614,0.0,0.0,1.0,0.66731,0.0,0.02279,1.0,0.00485,1.0,0.0,1.0,0.01164,1.0,0.01455,1.0,0.02231,1.0,0.01794,1.0,0.0,1.0,0.0,1.0,0.00436,1.0,0.0,1.0,0.0,1.0,0.00207,0.0,0.53589,0.0,7e-05,0.00074,981.0,0.08561,11459.32239,0.27909,0.16573,0.18116,0.125,0.22195,0.65392,0.65082,0.5974,0.64,0.58971,0.0,0.41723,0.32898,0.44444,0.38732,0.35371,0.68097,0.60315,0.65948,0.61739,0.59021,0.0
51059420502,59.0,0.07746,0.0,0.94256,0.0,0.05358,1.0,0.04081,0.0,0.11967,1.0,0.07477,0.0,0.1344,0.0,0.22743,0.0,0.0,1.0,0.52545,0.0,0.07887,0.0,0.01221,1.0,0.0,1.0,0.03698,0.0,0.01223,1.0,0.05907,1.0,0.01928,1.0,0.01824,1.0,0.00558,1.0,0.00041,1.0,0.0066,1.0,0.0,1.0,0.002,0.0,0.0,1.0,0.00042,0.00191,2518.0,0.32666,7708.20586,0.26356,0.16287,0.2009,0.11514,0.22143,0.6487,0.64504,0.60525,0.63599,0.603,0.0,0.40997,0.3219,0.45888,0.36587,0.34954,0.677,0.60392,0.6533,0.6198,0.59788,0.0
51059420503,59.0,0.12306,0.0,0.9341,0.0,0.03528,1.0,0.06706,1.0,0.1283,1.0,0.11766,0.0,0.21003,0.0,0.12021,0.0,0.0,1.0,0.48837,0.0,0.06349,1.0,0.00014,1.0,0.0,1.0,0.02241,1.0,0.01145,1.0,0.0029,1.0,0.03674,1.0,0.00623,1.0,0.00509,1.0,0.00409,1.0,0.01245,1.0,0.0,1.0,0.00314,0.0,0.0,1.0,0.00116,0.00264,3513.0,0.74084,4741.88668,0.27909,0.16573,0.18116,0.125,0.22195,0.65392,0.65082,0.5974,0.64,0.58971,0.0,0.41723,0.32898,0.44444,0.38732,0.35371,0.68097,0.60315,0.65948,0.61739,0.59021,0.0
51059420600,59.0,0.17247,0.0,0.8746,0.0,0.05621,0.0,0.10101,0.0,0.07369,1.0,0.0604,0.0,0.20133,0.0,0.22609,0.0,0.0,1.0,0.4548,0.0,0.14234,0.0,0.0,1.0,0.0,1.0,0.01067,1.0,0.0149,1.0,0.05134,1.0,0.01168,1.0,0.00745,1.0,0.01832,1.0,0.00221,1.0,0.00544,1.0,0.00141,1.0,0.00395,0.0,0.0,1.0,0.00077,0.00356,4920.0,1.38436,3553.98388,0.21817,0.10666,0.24987,0.2448,0.16946,0.71128,0.67773,0.60273,0.64473,0.61381,0.0,0.37237,0.2674,0.52427,0.368,0.29293,0.68782,0.57353,0.71528,0.57078,0.57782,0.0
51059420700,59.0,0.10878,0.0,0.98417,0.0,0.0653,0.0,0.0292,0.0,0.0872,1.0,0.11987,0.0,0.10843,0.0,0.20543,0.0,0.0,1.0,0.48193,0.0,0.11517,0.0,0.0,1.0,0.0049,1.0,0.0049,1.0,0.00511,1.0,0.06106,1.0,0.00429,1.0,0.01164,0.0,0.01756,1.0,0.00633,1.0,0.01246,1.0,0.00225,1.0,0.00443,0.0,0.08586,0.0,0.00036,0.00384,4243.0,2.86983,1478.48602,0.20139,0.10535,0.15787,0.36226,0.1988,0.76171,0.74221,0.7248,0.65174,0.72445,0.0,0.3814,0.22795,0.38407,0.44424,0.34225,0.7793,0.7293,0.71818,0.70784,0.75002,0.0
51059420800,59.0,0.13119,0.0,0.97352,0.0,0.06449,0.0,0.02803,0.0,0.11008,1.0,0.11344,0.0,0.10179,0.0,0.31572,0.0,0.0,1.0,0.42839,0.0,0.18596,0.0,0.0,1.0,0.0,1.0,0.03859,1.0,0.01632,1.0,0.05284,1.0,0.00207,1.0,0.0101,1.0,0.01347,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.00342,0.0,0.0,1.0,0.00036,0.00351,3644.0,2.74108,1329.40256,0.18294,0.08696,0.09565,0.30986,0.23699,0.7492,0.7541,0.68452,0.79775,0.69478,0.0,0.35135,0.2449,0.26619,0.37811,0.40291,0.77583,0.73605,0.70918,0.77308,0.77154,0.0
