geoid,countyfp,prc_nonengprof_final,prc_nonengprof_final_unreliable_flag,prc_caraccess_final,prc_caraccess_final_unreliable_flag,prcdisabled_final,prcdisabled_final_unreliable_flag,prc_pov_final,prc_pov_final_unreliable_flag,prc_youth_final,prc_youth_final_unreliable_flag,prc_asian,prc_asian_unreliable_flag,prc_black,prc_black_unreliable_flag,prc_latino,prc_latino_unreliable_flag,prc_native,prc_native_unreliable_flag,prc_white,prc_white_unreliable_flag,prc_centralamerican,prc_centralamerican_unreliable_flag,prc_cuban,prc_cuban_unreliable_flag,prc_dominican,prc_dominican_unreliable_flag,prc_mexican,prc_mexican_unreliable_flag,prc_puertorican,prc_puertorican_unreliable_flag,prc_southam,prc_southam_unreliable_flag,prc_asianindian,prc_asianindian_unreliable_flag,prc_chinese,prc_chinese_unreliable_flag,prc_filipino,prc_filipino_unreliable_flag,prc_japanese,prc_japanese_unreliable_flag,prc_korean,prc_korean_unreliable_flag,prc_vietnamese,prc_vietnamese_unreliable_flag,cvapdens,cvapdens_unreliable_flag,tot_elignonreg_prc_final,tot_elignonreg_prc_final_unreliable_flag,job_dens,pollvoter_dens,pop20,areakm,popdens,vbm_tot_2016,vbm_lat_2016,vbm_asn_2016,vbm_youth_2016,turnout_tot_2016,turnout_lat_2016,turnout_asn_2016,turnout_youth_2016,vbm_tot_2020,vbm_lat_2020,vbm_asn_2020,vbm_youth_2020,turnout_tot_2020,turnout_lat_2020,turnout_asn_2020,turnout_youth_2020
51089010100,89,0.13497,0,0.91684,0,0.15086,0,0.13702,0,0.04672,1,0.0,1,0.14508,0,0.19153,0,0.0,1,0.65355,0,0.06421,1,0.0,1,0.0,1,0.12732,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0465,0,0.07079,0,0.08498,0.0682,3895,12.05921,322.98955,0.08949,0.07274,0.0,0.16997,0.65313,0.51596,0.54545,0.47262,0.14774,0.27501,0.42768,0.14034,0.68415,0.47774,0.63685,0.50286
51089010200,89,0.02767,1,0.88227,0,0.20307,0,0.13386,0,0.08588,1,0.01205,1,0.12542,0,0.03465,1,0.0,1,0.80734,0,0.0032,1,0.0,1,0.0,1,0.00113,1,0.02185,1,0.0,1,0.01205,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.07802,0,0.2326,0,0.20669,0.09834,5012,20.94415,239.30313,0.11658,0.03244,0.0,0.21509,0.69501,0.51953,0.5508,0.54561,0.15353,0.17944,0.74633,0.15998,0.72583,0.46702,0.53929,0.59035
51089010300,89,0.00456,1,0.95833,0,0.11923,0,0.11604,0,0.06058,1,0.00288,1,0.38823,0,0.0232,1,0.0,1,0.57266,0,0.0,1,0.0,1,0.0,1,0.00939,1,0.01208,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.00288,1,0.08314,0,0.13039,0,0.29711,0.03775,5270,93.04988,56.63629,0.09694,0.05985,0.0,0.21432,0.72351,0.65019,0.03614,0.50182,0.13637,0.04598,0.75,0.19028,0.75096,0.49432,0.57143,0.56237
51089010400,89,0.01805,1,0.97591,0,0.12473,1,0.20017,0,0.09773,1,0.0,1,0.38487,0,0.1085,1,0.0,1,0.48013,0,0.0,1,0.0,1,0.0,1,0.10409,1,0.00442,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0492,0,0.04921,0,0.01824,0.07568,3654,175.29744,20.84457,0.08284,0.03493,,0.1184,0.678,0.47078,0.0,0.42627,0.12335,0.14751,0.0,0.14181,0.73142,0.4734,1.0,0.55001
51089010500,89,0.01647,1,0.93456,0,0.21476,0,0.30158,0,0.03841,1,0.0,1,0.23903,0,0.08591,1,0.0,1,0.61562,0,0.0,1,0.0,1,0.0,1,0.08591,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.15388,0,0.0344,0,0.0095,0.07967,3889,152.40754,25.51711,0.08272,0.04109,0.0,0.10884,0.64887,0.46705,0.42857,0.55194,0.13889,0.15478,0.0,0.16506,0.69313,0.50567,0.5,0.54521
51089010601,89,0.01637,1,0.89271,0,0.26596,0,0.14198,0,0.03613,1,0.0,1,0.20159,0,0.05527,1,0.0,1,0.71098,0,0.0,1,0.0,1,0.0,1,0.05527,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.03878,0,0.09048,0,0.03419,0.05905,2743,15.85075,173.05171,0.08946,0.0,0.0,0.16543,0.66891,0.20935,0.6,0.44586,0.11851,0.22648,0.0,0.17321,0.70781,0.30244,0.5,0.47717
51089010602,89,0.03683,1,0.95671,0,0.19973,0,0.22426,0,0.06454,1,0.04037,1,0.14453,0,0.03763,1,0.0,1,0.76103,0,0.00349,1,0.0,1,0.0,1,0.02766,1,0.0,1,0.0,1,0.0,1,0.0015,1,0.0,1,0.0,1,0.0,1,0.03887,1,0.14833,0,0.11146,0,0.13437,0.08391,3929,43.6923,89.9243,0.08622,0.0,0.0,0.15238,0.67303,0.34192,0.48348,0.50936,0.12242,0.19378,0.0,0.16189,0.71557,0.43404,0.5,0.5398
51089010700,89,0.00722,1,0.91804,0,0.15115,0,0.14537,0,0.08377,1,0.01722,1,0.22475,0,0.00555,1,0.0,1,0.74197,0,0.0,1,0.0,1,0.0,1,0.00555,1,0.0,1,0.0,1,0.00292,1,0.01255,1,0.00175,1,0.0,1,0.0,1,0.0,1,0.11552,0,0.09116,0,0.01874,0.07866,3311,144.12006,22.9739,0.09003,0.05995,0.0,0.18435,0.69095,0.46072,0.42857,0.52425,0.12481,0.15395,0.0,0.12686,0.736,0.4027,0.99612,0.54889
51089010800,89,0.0,1,0.94283,0,0.2095,0,0.29464,0,0.0689,1,0.0,1,0.47537,0,0.03618,1,0.01155,1,0.4592,0,0.0,1,0.0,1,0.0,1,0.00654,1,0.02964,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0363,0,0.11904,0,0.02444,0.05066,2419,32.24966,75.00855,0.0881,0.18601,0.0,0.07528,0.65941,0.55073,0.0,0.42269,0.16678,0.22954,0.0,0.13445,0.71492,0.41744,1.0,0.51554
51089010900,89,0.01073,1,0.93692,0,0.20807,0,0.23671,0,0.06765,1,0.00881,1,0.19616,0,0.00881,1,0.0,1,0.77862,0,0.0,1,0.0,1,0.0,1,0.0,1,0.0032,1,0.0056,1,0.0,1,0.0,1,0.00681,1,0.0,1,0.002,1,0.0,1,0.03746,0,0.0656,0,0.00557,0.06081,2548,75.35549,33.81306,0.0934,0.12103,0.0,0.17701,0.69421,0.71424,0.0,0.58726,0.11788,0.10717,0.0,0.11399,0.74371,0.44908,1.0,0.56867
51089011000,89,0.01538,1,0.9192,0,0.26287,0,0.11813,0,0.04912,1,0.0,1,0.25351,0,0.02719,1,0.0,1,0.7193,0,0.00974,1,0.0,1,0.0,1,0.01542,1,0.00203,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.07676,0,0.21234,0,0.01368,0.09939,4728,70.66415,66.90805,0.06666,0.06411,0.0,0.11146,0.64898,0.33278,0.0,0.52379,0.11477,0.2134,0.0,0.12026,0.70107,0.49807,1.0,0.54334
