osm_id,code,fclass,name,lon,lat
356561300,2082,school,Dugspur Elementary School,-80.60951,36.84013
356562805,2082,school,Lambsburg Elementary School,-80.76007,36.5893
356562829,2082,school,Laurel Fork Elementary School,-80.52673,36.71625
356563480,2082,school,Mount Bethel School,-80.62451,36.59347
356575405,2082,school,Vaughan School,-80.98064,36.74346
356595205,2082,school,Sylvatus Elementary School,-80.76396,36.85707
6223251805,2083,kindergarten,,-80.74095,36.77529
6223251866,2402,motel,,-80.73021,36.76323
