name,address,Is Early Voting,Precincts (Or Locality-wide),Is Drop Off,lon,lat,V11
AUGUSTA COUNTY GOVT CENTER,"18 GOVERNMENT CENTER LN VERONA, VA 24482-2639",False,103 - VERONA - 0000,False,-79.01428,38.19294,
Augusta County Registrar Office,18 GOV CENTER LANE VERONA VA 24482,True,Locality wide location,False,-79.01428,38.19294,
BEVERLEY MANOR ELEMENTARY SCHOOL,"116 CEDAR GREEN RD STAUNTON, VA 24401-5424",False,405 - CEDAR GREEN - 0000,False,-79.12021,38.14767,
BUFFFALO GAP HIGH SCHOOL,"1800 BUFFALO GAP HWY SWOOPE, VA 24479-2348",False,401 - BUFFALO GAP - 0000,False,-79.21798,38.19436,
CHURCHVILLE ELEMENTARY SCHOOL,"3710 CHURCHVILLE AVE CHURCHVILLE, VA 24421",False,402 - CHURCHVILLE ELEMENTARY - 0000,False,-79.16006,38.22249,
CHURCHVILLE FIRE STATION,"3829 CHURCHVILLE AVE CHURCHVILLE, VA 24421-2501",False,304 - CHURCHVILLE FIRE STATION - 0000,False,-79.16301,38.22647,
CLYMORE ELEMENTARY SCHOOL,"184 FORT DEFIANCE RD FORT DEFIANCE, VA 24437-2001",False,301 - FORT DEFIANCE - 0000,False,-78.97646,38.24648,
CRAIGSVILLE COMMUNITY CENTER,"18 HIDY ST CRAIGSVILLE, VA 24430",False,"403 - CRAIGSVILLE - 0001, 403 - CRAIGSVILLE - 0000",False,-79.38503,38.07731,
DEERFIELD FIRE STATION,"2927 DEERFIELD VALLEY RD DEERFIELD, VA 24432-2101",False,404 - DEERFIELD - 0000,False,-79.39948,38.19857,
HUGH K. CASSELL ELEMENTARY SCHOOL,"1301 ROCKFISH RD WAYNESBORO, VA 22980",False,801 - DOOMS - 0000,False,-78.87179,38.13122,
HUGH K. CASSELL ELEMENTARY SCHOOL,"1301 ROCKFISH RD. WAYNESBORO, VA 22980",False,201 - CRIMORA - 0000,False,-78.87179,38.13122,
MIDDLEBROOK FIRE STATION,"54 CHERRY GROVE RD MIDDLEBROOK, VA 24459-2100",False,502 - MIDDLEBROOK - 0000,False,-79.21263,38.04969,
NEW HOPE UNITED METHODIST CHURCH,"55 ROUND HILL SCHOOL RD FORT DEFIANCE, VA 24437-2133",False,202 - NEW HOPE - 0000,False,-78.90714,38.19462,
NORTH RIVER ELEMENTARY SCHOOL,"3395 SCENIC HWY MOUNT SOLON, VA 22843-2612",False,302 - NORTH RIVER - 0000,False,-79.07907,38.31476,
RIDGEVIEW CHRISTIAN SCHOOL,"124 RIDGEVIEW DR STUARTS DRAFT, VA 24477",False,602 - RIDGEVIEW - 0000,False,-79.03217,38.00814,
RIVERHEADS HIGH SCHOOL,"19 HOWARDSVILLE RD STAUNTON, VA 24401-5714",False,501 - GREENVILLE - 0000,False,-79.14004,38.03333,
SANGERVILLE TOWERS RURITAN HALL,"38 EMMANUEL CHURCH RD MOUNT SOLON, VA 22843-2036",False,303 - MOUNT SOLON - 0000,False,-79.08988,38.3604,
SHERANDO COMMUNITY CENTER,"1863 MT TORREY RD LYNDHURST, VA 22952-2303",False,601 - SHERANDO - 0000,False,-78.9555,37.98245,
SPOTTSWOOD COMMUNITY CENTER,"797 SPOTTSWOOD RD STEELES TAVERN, VA 24476-2001",False,503 - SPOTTSWOOD - 0000,False,-79.2167,37.9578,
STUARTS DRAFT ELEMENTARY SCHOOL,"63 SCHOOL BLVD STUARTS DRAFT, VA 24477-3202",False,102 - STUARTS DRAFT ELEMENTARY - 0000,False,-79.00804,38.04721,
VALLEY VOCATIONAL TECHNICAL CENTER,"49 HORNET RD FISHERSVILLE, VA 22939-3416",False,803 - WILSON - 0000,False,-78.98837,38.11605,
VICTORY WORSHIP CENTER,"200 HAMMOND LN STAUNTON, VA 24401",False,101 - JOLIVUE - 0000,False,-79.06075,38.10338,
WEYERS CAVE COMMUNITY CENTER,"682 WEYERS CAVE RD WEYERS CAVE, VA 24486-2413",False,203 - WEYERS CAVE - 0000,False,-78.9065,38.28375,
WILSON FIRE STATION,"892 MT TORREY RD LYNDHURST, VA 22952-2603",False,603 - LYNDHURST - 0000,False,-78.94761,38.0157,
White Hill Church of the Brethren,"749 OLD WHITE HILL RD STUARTS DRAFT, VA 24477",False,"504 - WHITE HILL - 0000, 504 - WHITE HILL - 0001",False,-79.06142,38.03893,
YANCEY FIRE STATION,"2015 JEFFERSON HWY FISHERSVILLE, VA 22939-2240",False,802 - FISHERSVILLE - 0000,False,-78.95982,38.09411,
Augusta County Registrar Office,18 GOV CENTER LANE VERONA VERONA VA 24482,True,Locality wide location,False,-79.01428,38.19294,
