name,address,Is Early Voting,Precincts (Or Locality-wide),Is Drop Off,lon,lat,V11
ABUNDANT LIFE CHURCH OF CHRIST,"3700 GOODELL RD HENRICO, VA 23223-1210",False,215 - MAPLEWOOD - 0000,False,-77.38183,37.57288,
ADAMS ELEMENTARY SCHOOL,"600 S LABURNUM AVE HENRICO, VA 23223-5802",False,201 - ADAMS - 0000,False,-77.3661,37.53622,
ANTIOCH BAPTIST CHURCH,"3868 ANTIOCH CHURCH RD SANDSTON, VA 23150-4614",False,501 - ANTIOCH - 0000,False,-77.2444,37.51266,
BAKER ELEMENTARY SCHOOL,"6651 WILLSON RD HENRICO, VA 23231-5523",False,506 - EANES - 0000,False,-77.36681,37.48218,
BELMONT RECREATION CENTER,"1600 HILLIARD RD RICHMOND, VA 23228-4708",False,203 - BELMONT - 0000,False,-77.462,37.61847,
BROOKLAND MIDDLE SCHOOL,"9200 LYDELL DR RICHMOND, VA 23228-2213",False,204 - BROOKLAND - 0000,False,-77.48106,37.64207,
BROOKLAND MIDDLE SCHOOL,"9200 LYDELL DR RICHMOND, VA 23228-2213",False,218 - OAKVIEW - 0000,False,-77.48106,37.64207,
CARVER ELEMENTARY SCHOOL,"1801 LAUDERDALE DR RICHMOND, VA 23238-4009",False,408 - LAUDERDALE - 0000,False,-77.62826,37.60694,
CHAMBERLAYNE ELEMENTARY SCHOOL,"8200 SAINT CHARLES RD RICHMOND, VA 23227-1412",False,207 - CHAMBERLAYNE - 0000,False,-77.44196,37.63158,
COLONIAL TRAIL ELEMENTARY SCHOOL,"12101 LIESFELD FARM DR GLEN ALLEN, VA 23059",False,316 - COLONIAL TRAIL - 0000,False,-77.61424,37.66024,
COLUMBIAN CENTER,"2324 PUMP RD RICHMOND, VA 23233-2621",False,413 - RIDGEFIELD - 0000,False,-77.60956,37.62421,
CRESTVIEW ELEMENTARY SCHOOL,"1901 CHARLES ST RICHMOND, VA 23226-3504",False,402 - CRESTVIEW - 0000,False,-77.51977,37.60069,
Cambridge Baptist Church,"12025 GAYTON RD HENRICO, VA 23238",False,407 - LAKEWOOD - 0000,False,-77.63388,37.61429,
DEEP RUN HIGH SCHOOL,"4801 TWIN HICKORY RD GLEN ALLEN, VA 23059-2519",False,309 - SADLER - 0000,False,-77.60067,37.67579,
DERBYSHIRE BAPTIST CHURCH,"8800 DERBYSHIRE RD RICHMOND, VA 23229-7104",False,"403 - DERBYSHIRE - 0000, 403 - DERBYSHIRE - 0001",False,-77.57642,37.58873,
DONAHOE ELEMENTARY SCHOOL,"1801 GRAVES RD SANDSTON, VA 23150-4114",False,504 - DONAHOE - 0000,False,-77.29302,37.53829,
DOREY PARK RECREATION CENTER,"7200 DOREY PARK DR RICHMOND, VA 23231-7155",False,505 - DOREY - 0000,False,-77.33599,37.46912,
DUMBARTON ELEMENTARY SCHOOL,"9000 HUNGARY SPRING RD HENRICO, VA 23228-1620",False,102 - DUMBARTON - 0000,False,-77.51938,37.63875,
ECHO LAKE ELEMENTARY SCHOOL,"5200 FRANCISTOWN RD GLEN ALLEN, VA 23060-2841",False,101 - COALPIT - 0000,False,-77.54431,37.66764,
Essex Village Community Center,"117 ENGLESIDE DR HENRICO, VA 23222",False,224 - ESSEX VILLAGE - 0000,False,-77.43045,37.58644,
FAIRFIELD LIBRARY,"1401 N LABURNUM AVE HENRICO, VA 23223-2705",False,208 - FAIRFIELD - 0000,False,-77.3761,37.56522,
FAIRFIELD MIDDLE SCHOOL,"5121 NINE MILE RD RICHMOND, VA 23223-3329",False,502 - CEDAR FORK - 0000,False,-77.3599,37.54547,
FREEMAN HIGH SCHOOL,"8701 THREE CHOPT RD RICHMOND, VA 23229-4709",False,"404 - FREEMAN - 0001, 404 - FREEMAN - 0000",False,-77.55948,37.60056,
GAYTON BAPTIST CHURCH,"13501 N GAYTON RD RICHMOND, VA 23233-7057",False,301 - CAUSEWAY - 0000,False,-77.63696,37.65063,
GAYTON ELEMENTARY SCHOOL,"12481 CHURCH RD RICHMOND, VA 23233-2200",False,419 - WEST END - 0000,False,-77.63242,37.63506,
GAYTON LIBRARY,"10600 GAYTON RD RICHMOND, VA 23238-4117",False,405 - GAYTON - 0000,False,-77.60734,37.60799,
GLEN ALLEN ELEMENTARY SCHOOL,"11101 MILL RD GLEN ALLEN, VA 23060-5004",False,103 - GLEN ALLEN - 0000,False,-77.52349,37.67867,
