name,address,Is Early Voting,Precincts (Or Locality-wide),Is Drop Off,lon,lat,V11
AMERICAN LEGION HALL,"213 BROOK AVE SOUTH HILL, VA 23970-2609",False,"501 - SOUTH HILL - 0000, 501 - SOUTH HILL - 2290B, 501 - SOUTH HILL - 2290A, 501 - SOUTH HILL - 2290C",False,-78.12843,36.72462,
ANTIOCH CHURCH OF CHRIST,"652 ANTIOCH CHURCH ROAD CLARKSVILLE, VA 23927",False,102 - PEARSONS STORE - 0000,False,-78.38418,36.54282,
BLUESTONE SENIOR HIGH SCHOOL,"6825 SKIPWITH RD SKIPWITH, VA 23968-2123",False,202 - BLUESTONE SENIOR HIGH SCHOOL - 0000,False,-78.49624,36.70548,
BUCKHORN FIRE STATION,"5972 UNION LEVEL UNION LEVEL, VA 23973",False,602 - UNION LEVEL - 0000,False,-78.24128,36.75462,
BUTLER MEMORIAL LIBRARY,"515 NORTH MARSHALL STREET CHASE CITY, VA 23924",False,"203 - CHASE CITY VFW POST - 0000, 203 - CHASE CITY VFW POST - 0001",False,-78.45792,36.80195,
Bluestone Middle School,"250 MIDDLE SCHOOL ROAD SKIPWITH, VA 23968-1714",False,802 - BLUESTONE - 0000,False,-78.54124,36.70875,
CHASE CITY ELEMENTARY SCHOOL,"5450 HIGHWAY FORTY SEVEN CHASE CITY, VA 23924-3728",False,"803 - CHASE CITY ELEMENTARY SCHOOL - 0000, 803 - CHASE CITY ELEMENTARY SCHOOL - 0001",False,-78.45882,36.79926,
CHASE CITY VOL FIRE DEPT,"213 E 2ND ST CHASE CITY, VA 23924-1629",False,"701 - CHASE CITY - 0001, 701 - CHASE CITY - 0000",False,-78.45961,36.79871,
CHERRY HILL FELLOWSHIP HALL,"2318 HIGHWAY FIFTY EIGHT BUFFALO, VA 24529",False,902 - BUFFALO SPRINGS - 0000,False,-78.47637,36.65179,
CLARKSVILLE COMMUNITY CENTER,"103 WOODLAND DR CLARKSVILLE, VA 23927-9028",False,"903 - CLARKSVILLE - 0001, 903 - CLARKSVILLE - 0000",False,-78.57225,36.62079,
CLARKSVILLE ELEMEMTARY SCHOOL,"1696 NOBLIN FARM RD CLARKSVILLE, VA 23927-3101",False,"103 - SOUTH CLARKSVILLE - 0000, 103 - SOUTH CLARKSVILLE - 0001",False,-78.56326,36.60172,
Crowder's Driving School,"13695 HIGHWAY FORTY SEVEN CHASE CITY, VA 23924-3433",False,702 - SUNSHINE - 0000,False,-78.35138,36.79486,
FAMILY FOOD STORE,"1846 HIGHWAY FORTY NINE NELSON, VA 24580",False,"901 - AVERETT - 0000, 901 - AVERETT - 0001",False,-78.70494,36.56231,
LACROSSE FIRE DEPARTMENT,"100 CAROLINA STREET LACROSSE, VA 23950",False,"302 - LACROSSE - 2290B, 302 - LACROSSE - 0320, 302 - LACROSSE - 1400, 302 - LACROSSE - 0000",False,-78.09222,36.69637,
LAKE GASTON VOL FIRE DEPT,"7609 HIGHWAY NINE O THREE BRACEY, VA 23919-2018",False,301 - BRACEY - 0000,False,-78.14306,36.59956,
LAKE GASTON VOL FIRE DEPT,"7609 HIGHWAY NINE O THREE BRACEY, VA 23919-2018",False,604 - LAKE GASTON - 0000,False,-78.14306,36.59956,
Mecklenburg County Registrar Office,439 MADISON STREET BOYDTON VA 23917,True,Locality wide location,False,-78.38929,36.66764,
PALMER SPRINGS FIRE STATION,"1697 PALMER SPRINGS RD BOYDTON, VA 23917-4702",False,101 - WRIGHTS STORE - 0000,False,-78.23974,36.56059,
PARK VIEW MIDDLE SCHOOL,"365 DOCKERY RD SOUTH HILL, VA 23970-5222",False,402 - PARK VIEW MIDDLE SCHOOL - 0000,False,-78.19714,36.6892,
R. T. ARNOLD PUBLIC LIBRARY,"110 E. DANVILLE STREET SOUTH HILL, VA 23970",False,"401 - AMERICAN LEGION HALL - 0000, 401 - AMERICAN LEGION HALL - 1400, 401 - AMERICAN LEGION HALL - 2290A, 401 - AMERICAN LEGION HALL - 2290C",False,-78.1298,36.72389,
SCHOOL BOARD IN SERVICE BLDG,"120 MADISON STREET BOYDTON, VA 23917",False,"201 - BOYDTON - 0001, 201 - BOYDTON - 0000",False,-78.39475,36.6672,
Sharon Baptist Church,"27250 HIGHWAY FIFTY-EIGHT SOUTH HILL, VA 23970",False,601 - BASKERVILLE - 0000,False,-78.12889,36.72653,
TRINITY UNITED METHODIST CHURCH,"1072 TRINITY CHURCH RD SOUTH HILL, VA 23970-5800",False,603 - SMITH CROSSROADS - 0000,False,-78.15709,36.66513,
VFW Post 8163,"7488 HIGHWAY 15 CLARKSVILLE, VA 23927",False,801 - FINCHLEY - 0000,False,-78.54747,36.6435,
Mecklenburg County Registrar Office,439 MADISON ST BOYDTON VA 23917,True,Locality wide location,False,-78.38929,36.66764,
